jnz,24,0.114832535885,2.729670932
add,2,0.00956937799043,0.0189560481389
mov,100,0.478468899522,47.3901203473
xor,1,0.00478468899522,0.00473901203473
lea,2,0.00956937799043,0.0189560481389
jz,9,0.0430622009569,0.383859974813
cmp,34,0.162679425837,5.47829791215
pop,4,0.0191387559809,0.0758241925557
retn,1,0.00478468899522,0.00473901203473
call,11,0.0526315789474,0.573420456202
jmp,12,0.0574162679426,0.682417733001
dec,1,0.00478468899522,0.00473901203473
jbe,1,0.00478468899522,0.00473901203473
push,7,0.0334928229665,0.232211589702
